,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Girls Like You (feat. Cardi B)","Maroon 5",175470,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
2,"Don’t Matter To Me",Drake,154320,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
3,浪子回頭,EggPlantEgg,148941,https://open.spotify.com/track/7J6wLr8qRqLPMeOZlR54NM
4,"Ocean (feat. Khalid)","Martin Garrix",133389,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
5,"Back To You","Selena Gomez",128751,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
6,"Solo (feat. Demi Lovato)","Clean Bandit",125743,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
7,"Born To Be Yours",Kygo,115441,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
8,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,109437,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
9,體面(電影《前任3:再見前任》插曲),"Kelly Yu",105608,https://open.spotify.com/track/7cE5ehlKJ3L9Ejhzm3udcF
10,"Bed (feat. Ariana Grande)","Nicki Minaj",102847,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
11,2002,Anne-Marie,100219,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
12,"Start Again (feat. Logic)",OneRepublic,94572,https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz
13,Rise,"Jonas Blue",92841,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
14,Youngblood,"5 Seconds of Summer",90981,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
15,"no tears left to cry","Ariana Grande",88786,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
16,"Jackie Chan",Tiësto,87918,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
17,"I'm a Mess","Bebe Rexha",87475,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
18,言不由衷,"LaLa Hsu",83797,https://open.spotify.com/track/3AIvgFB3YTo349ZlcfOnOo
19,"我們 - 《後來的我們》電影主題曲","Eason Chan",82434,https://open.spotify.com/track/0Uf0SvwUrf02ucIt1d0Wos
20,慢慢喜歡你,"Karen Mok",82214,https://open.spotify.com/track/7EoyERNueJuFlQbyrRB0US
21,"幾分之幾 - 電影<花甲大人轉男孩>主題曲","Crowd Lu",80314,https://open.spotify.com/track/4F7ZAsndEIJXyFzJUHNlRu
22,"One Kiss (with Dua Lipa)","Calvin Harris",79363,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
23,"In My Feelings",Drake,77609,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
24,"Better Now","Post Malone",75438,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
25,"Lucid Dreams","Juice WRLD",74331,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
26,讓我為你唱情歌,"Jam Hsiao",73131,https://open.spotify.com/track/0BuTVSIbiQGdxW7njjKng7
27,"魚仔 - 電視劇<花甲男孩轉大人>主題曲","Crowd Lu",72608,https://open.spotify.com/track/2sb6AZQLeoD3VgA4zglQB6
28,連名帶姓,"A-Mei Chang",72519,https://open.spotify.com/track/4a5FvWpFaCs3YOzEnnpgR0
29,"FAKE LOVE",BTS,71976,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
30,Somebody,"The Chainsmokers",71716,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
31,"FOREVER YOUNG - KR Ver.",BLACKPINK,70690,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
32,"追光者 - 電視劇夏至未至插曲","Yoyo Sham",70171,https://open.spotify.com/track/66LKcDWIHdqWEaviZhcMTx
33,"Havana (feat. Young Thug)","Camila Cabello",65335,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
34,Audio,Sia,65069,https://open.spotify.com/track/7boPPE857KEqCIHNwFkDop
35,"New Light","John Mayer",63608,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
36,Enemies,Lauv,63273,https://open.spotify.com/track/3JJYIoJ5FyY9E0DGjr7SXF
37,"The Middle",Zedd,61824,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
38,"8 Out Of 10",Drake,61460,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN
39,灰色,"LaLa Hsu",60499,https://open.spotify.com/track/1dIKxlEtHBABzk1DlRNCxc
40,"Dance To This (feat. Ariana Grande)","Troye Sivan",59157,https://open.spotify.com/track/1NbGcdgwRHZ5rbPIT9hdR3
41,Flames,"David Guetta",58622,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
42,偉大的渺小,"JJ Lin",58594,https://open.spotify.com/track/1P2RxojrM3KEoKgM7pbc9i
43,"Taste (feat. Offset)",Tyga,58162,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
44,Nevermind,"Dennis Lloyd",58084,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
45,"Something Just Like This","The Chainsmokers",58069,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
46,"Shape of You","Ed Sheeran",57764,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
47,Connection,OneRepublic,57176,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
48,還好,"Rachel Liang",54970,https://open.spotify.com/track/1PIPzILhqi26YRr7vpFLay
49,FRIENDS,Marshmello,54542,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
50,Nonstop,Drake,54494,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
51,"I Like It","Cardi B",54491,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
52,到此為止,"LaLa Hsu",52255,https://open.spotify.com/track/5dUshocB5ykBkSr8jtMf7p
53,"lovely (with Khalid)","Billie Eilish",52017,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
54,Wolves,"Selena Gomez",49186,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
55,全是愛,"Jam Hsiao",48629,https://open.spotify.com/track/2NrllzhpAiN5FTKBGxYy35
56,家家酒,"Jia Jia",48596,https://open.spotify.com/track/6mO5fCJKvB9tr5RAFvBO7z
57,飄向北方,Namewee,46791,https://open.spotify.com/track/5mS0BGxAAebA3amJg6LkVk
58,如果雨之後,"Eric Chou",46451,https://open.spotify.com/track/6kabSi7XCHHGThNme6J2tL
59,身後,"A-Mei Chang",46128,https://open.spotify.com/track/5niImrS3tokLyQ8uHKswt1
60,Entertainer,ZAYN,45893,https://open.spotify.com/track/5LTGmestwpHZ1BfCmpFQJx
61,"說散就散 - ""前任3: 再見前任"" 電影主題曲","Tia Ray",45098,https://open.spotify.com/track/1YfDfk1s3U1iexGila4UC2
62,青春住了誰,"Rainie Yang",44709,https://open.spotify.com/track/0JddqUycMUJv6IoOzwUCVG
63,刚好遇见你,"Li Yugang",44328,https://open.spotify.com/track/262Q20zX8BmAOIA6cFB2t9
64,"Let Me Down Slowly","Alec Benjamin",44262,https://open.spotify.com/track/2uaiyLKnYvazyfR0Ky3Kbk
65,"我有多麼喜歡你 (feat. 林宥嘉)","Jam Hsiao",43892,https://open.spotify.com/track/4ocbEHPHKDfGZz6va77bEo
66,"Growing Pains","Alessia Cara",43696,https://open.spotify.com/track/003eoIwxETJujVWmNFMoZy
67,誰來剪月光,"Eason Chan",43228,https://open.spotify.com/track/7npBr1YMDpbeYbVXiqnhE0
68,SAD!,XXXTENTACION,43180,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
69,OTW,Khalid,43019,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
70,"Let Me",ZAYN,41979,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
71,SWAG午覺,Outlander,41281,https://open.spotify.com/track/3rGMUcRkIRBO9dggY7bTYw
72,"Done for Me","Charlie Puth",41160,https://open.spotify.com/track/1lsBTdE6MGsKeZCD6llNu7
73,心裡學,"LaLa Hsu",40993,https://open.spotify.com/track/7CjUELqDMLUo2fu61nkJOJ
74,"我還年輕 我還年輕",老王樂隊,39773,https://open.spotify.com/track/5o48kuQnPwhuRAzO2t0bCU
75,戒菸,"Ronghao Li",39281,https://open.spotify.com/track/65KjitGykI5QIcsYrNhPZR
76,說散就散,"JC 陳泳彤",39158,https://open.spotify.com/track/3CE1HoJJ0FVKo7JHsWIuvC
77,BAAM,MOMOLAND,38966,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
78,愛過你有多久就有多痛,蕭秉治,38565,https://open.spotify.com/track/0RRT94g1fduf5thBol6fYW
79,演員,"Joker Xue",38543,https://open.spotify.com/track/6LunoYd3xpZ19sICOXS8Xd
80,欲望反光,"Jam Hsiao",38422,https://open.spotify.com/track/49ITYde2eJxC8bNX9n3LX6
81,"愛如意 (電影《阿修羅》主題曲)",G.E.M.,38362,https://open.spotify.com/track/71v0uNGnzILz7qvkjto0GT
82,"Will You Remember Me","Nicky Lee",38239,https://open.spotify.com/track/2e1jfYNXJ6tT4zn7vBTo7D
83,"Youth feat. Khalid","Shawn Mendes",37411,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
84,記得帶走,"LaLa Hsu",37260,https://open.spotify.com/track/2vufWUfS5xLwIf3S0jKV1V
85,"God's Plan",Drake,36888,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
86,"你,好不好? - Ending Theme Song of TVBS Series ""Life List""","Eric Chou",36763,https://open.spotify.com/track/2gug6MRv4xQFYi9LA3PJCS
87,黑夜問白天,"JJ Lin",36704,https://open.spotify.com/track/5KNh5YQgfduzV4028Cfh3J
88,APESHIT,"The Carters",36281,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
89,失落沙洲,"LaLa Hsu",36263,https://open.spotify.com/track/4vBoopG4WzohMju1GUmwoi
90,你會在哪呢,"Jam Hsiao",36219,https://open.spotify.com/track/5nNijbS0inVi7sAyV45NSU
91,"In My Blood","Shawn Mendes",36188,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
92,買榜,Kumachan,36104,https://open.spotify.com/track/67LTN04r77CavIkE7dc4tF
93,"Talk Up",Drake,36063,https://open.spotify.com/track/3Yw09dj3cTXsAzlLjgBfIP
